Identifiant;Nom;Type;Adresse;Code postal;Commune;Géolocalisation;Web;Accès transports en commun;Informations complémentaires;Gardien;Jeux pour enfants;Pataugeoire;Sanitaires;Sanitaires pour handicapés;Chiens autorisés;Jardin clos;Abris;Point d'eau;Table pique-nique
1512;Square de la Marseillaise;Parc;47 Rue du Bois Hercé;44100;Nantes;47.2078213764, -1.59232998652;http://www.jardins.nantes.fr;Marseillaise Ligne 11 ou Ligne 1 Egalité;;NON;OUI;NON;NON;NON;OUI;NON;NON;NON;NON
1522;Square Edit de Nantes;Parc;Place de l'Edit de Nantes;44100;Nantes;47.2143421522, -1.56774621624;http://www.jardins.nantes.fr;Edit de Nantes Lignes 21 23 24 56 H;;NON;OUI;NON;NON;NON;OUI;OUI;NON;OUI;NON
1598;Square des Martyrs Irlandais;Parc;Rue de l'Adour;44100;Nantes;47.2079361916, -1.6101650945;http://www.jardins.nantes.fr;Romain Rolland Ligne 1;;NON;OUI;NON;NON;OUI;OUI;OUI;NON;OUI;NON
1506;Parc des Capucins;Parc;Rue Noire;44000;Nantes;47.2252820032, -1.56297817733;http://www.jardins.nantes.fr;Poitou Ligne 3 ou Ligne C2 Brunneau;;NON;OUI;NON;OUI;OUI;OUI;OUI;NON;OUI;NON
1025;Square Elisa Mercoeur;Parc;1 Cours Commandant d'Estienne d'Orves;44000;Nantes;47.214344299, -1.55105073029;http://www.jardins.nantes.fr;Bouffay Ligne 1;;NON;NON;NON;NON;NON;OUI;NON;NON;NON;NON
1499;Square Jean Le Gigant;Parc;40 Rue Maurice Terrien;44100;Nantes;47.2041151562, -1.59311609514;http://www.jardins.nantes.fr;Cabrol Ligne 70;;NON;OUI;OUI;OUI;NON;OUI;OUI;NON;OUI;NON
4600;Aire du Stade de la Beaujoire;Parc;Route de Saint Joseph;44300;Nantes;47.2578297786, -1.52493635801;http://www.jardins.nantes.fr;Beaujoire Ligne 1;;NON;NON;NON;NON;NON;OUI;NON;NON;NON;NON
4589;Square de Hongrie;Parc;Rue de Chypre;44000;Nantes;47.2162161339, -1.52395339116;http://www.jardins.nantes.fr;Ligne C3 Hongrie;;;;;;;;;;;
4580;Square Psalette;Parc;Impasse Saint Laurent;44000;Nantes;47.2177796158, -1.54992106796;http://www.jardins.nantes.fr;Ligne C2 Cirque Marais + Ligne 12 Saint Pierre;;NON;OUI;NON;NON;NON;OUI;OUI;NON;NON;NON
1531;Square Pascal Lebée;Parc;Rue Dugommier;44000;Nantes;47.2160956257, -1.56348375624;http://www.jardins.nantes.fr;Delorme Ligne 22 51 54 F;;NON;NON;NON;OUI;NON;OUI;NON;NON;NON;NON
3222;Square Jules Bréchoir;Parc;Rue Jules Bréchoir;44000;Nantes;47.2252351951, -1.52255017463;http://www.jardins.nantes.fr;Toutes Aides 58 A 75 82 92 - Bd de Doulon Ligne 1;;NON;NON;NON;NON;OUI;NON;OUI;NON;NON;NON
3212;Square Faustin Hélie;Parc;Rue Faustin Hélie;44000;Nantes;47.2180477423, -1.56390684944;http://www.jardins.nantes.fr;Ligne 54 St Nicolas;;NON;OUI;NON;NON;NON;OUI;OUI;NON;NON;NON
4592;Square Pilotière;Parc;Boulevard de la Pilotière;44300;Nantes;47.2449797524, -1.5247148923;http://www.jardins.nantes.fr;Ligne 11 Dunant;;NON;OUI;NON;NON;NON;OUI;OUI;NON;NON;NON
1524;Square Etienne Destranges;Parc;Place Edouard Normand;44000;Nantes;47.2191797213, -1.56374138051;http://www.jardins.nantes.fr;Jean Jaurès Ligne 3;;NON;NON;NON;NON;NON;OUI;NON;NON;NON;NON
3204;Parc des Dervallières;Parc;Rue Louis Le Nain;44100;Nantes;47.224949401, -1.59502932045;http://www.jardins.nantes.fr;"Ligne 54 Grand Carcouet; Ligne 25 Le nain";;NON;NON;NON;NON;OUI;OUI;NON;NON;NON;NON
1530;Square Maurice Schwob;Parc;3 Rue des Garennes;44100;Nantes;47.2011405185, -1.58115477581;http://www.jardins.nantes.fr;Ligne 26 St Nicolas/ Ligne C1 Lusanças;;NON;OUI;NON;OUI;NON;NON;OUI;NON;OUI;NON
3216;Square Eglise de La Madeleine;Parc;Boulevard Gustave Roch;44200;Nantes;47.2051413898, -1.54867143146;http://www.jardins.nantes.fr;;;;;;;;;;;;
2641;Square des Maraîchés;Parc;Rue de la Haluchère;44300;Nantes;47.2462628869, -1.51630636208;http://www.jardins.nantes.fr;Ligne 1 Pin Sec;;NON;OUI;NON;NON;OUI;NON;OUI;OUI;OUI;NON
3209;Belvédère Sainte Anne;Parc;Rue de l'Hermitage;44100;Nantes;47.2014404794, -1.57756850887;;;;;;;;;;;;;
4590;Parc Pablo Picasso;Parc;Mail Pablo Picasso;44000;Nantes;47.21502014, -1.53640358888;http://www.jardins.nantes.fr;Ligne C3 Picasso;;NON;OUI;NON;NON;OUI;OUI;OUI;NON;NON;OUI
1532;Square Toussaint Louverture;Parc;Rue des Usines;44100;Nantes;47.194873366, -1.61609510052;http://www.jardins.nantes.fr;Ligne 1 gare maritime / Ligne E1 Gare de Chantenay;;NON;OUI;NON;NON;OUI;OUI;NON;NON;NON;NON
4583;Square Marcel Moisan;Parc;Rue de l'Hermitage;44100;Nantes;47.2020753726, -1.57729803578;http://www.jardins.nantes.fr;Lechat Ligne 21 H;;NON;OUI;NON;NON;NON;NON;OUI;NON;NON;NON
4585;Square Zac Pilleux Nord;Parc;Boulevard Benoit Frachon;44100;Nantes;47.2076254346, -1.58034978002;http://www.jardins.nantes.fr;Ligne 1 Du Chauffault;;;;;;;;;;;
1527;Square Jean-Baptiste Daviais;Parc;Place de la Petite Hollande;44000;Nantes;47.211891042, -1.55789856501;http://www.jardins.nantes.fr;Commerce Lignes 11 32 51 52 54 CDB;;NON;NON;NON;NON;NON;OUI;OUI;NON;NON;NON
1517;Square Commandant Aubin;Parc;Quai du Marquis d'Aiguillon;44100;Nantes;47.2018863664, -1.57687241467;http://www.jardins.nantes.fr;;;;;;;;;;;;
3207;Square du Bois de la Musse;Parc;Rue Etienne Coutan;44100;Nantes;47.2045486366, -1.61050747321;http://www.jardins.nantes.fr;Bernanos Lignes 25 H 74 ou ligne 1 Romain Rolland;;NON;NON;NON;NON;NON;OUI;NON;NON;NON;NON
4586;Square Saint Pasquier;Parc;Place Emile Fritsch;44000;Nantes;47.2287440316, -1.56605879177;http://www.jardins.nantes.fr;Ligne C2 Le Goffic;;NON;NON;NON;OUI;OUI;OUI;NON;NON;NON;NON
1018;Parc de Malakoff;Parc;Rue de la Révolution des Oeillets;44000;Nantes;47.2185028311, -1.51754765854;http://www.jardins.nantes.fr;Bus C3 Arrêt La Roche;;NON;NON;NON;NON;OUI;OUI;NON;NON;OUI;NON
4576;Douves du Chateau des Ducs;Parc;Rue des Etats;44000;Nantes;47.2156054705, -1.55011435128;http://www.jardins.nantes.fr;Bouffay Ligne 1;;NON;NON;NON;NON;NON;OUI;NON;NON;NON;NON
1022;Parc de la Noé Mitrie;Parc;Boulevard de Doulon;44000;Nantes;47.2274695666, -1.52655763612;http://www.jardins.nantes.fr;Mitrie Ligne 11;;NON;OUI;OUI;OUI;NON;NON;OUI;NON;OUI;NON
4588;Jardin des Nectars;Parc;Petite Avenue de Longchamp;44300;Nantes;47.2380565626, -1.58260064741;http://www.jardins.nantes.fr;Ligne 3 Beauséjour;;NON;OUI;NON;NON;OUI;NON;OUI;NON;OUI;OUI
4606;Jardin du Zenith;Parc;Rue Tristan Corbière;44300;Nantes;47.2687961494, -1.51681172872;http://www.jardins.nantes.fr;Ligne 2 Place du cirque / Ligne C6 St Joseph de porterie;;NON;OUI;NON;NON;OUI;OUI;NON;NON;NON;NON
