numero,type,voie,code,commune
9,ALL,DE L ILE GLORIETTE,44000,NANTES
30,RUE,MARANGE SYLVANGE,44100,NANTES
51,BD,DE DOULON,44300,NANTES
1,RUE,DES LANDES,44300,NANTES
1,RUE,DES LANDES,44300,NANTES
30,RUE,DU MAINE,44000,NANTES
13,RUE,DES CARMES,44000,NANTES
7,RUE,EMILE LOUBET,44300,NANTES
9,RUE,CHARLES BRUNELLIERE,44100,NANTES
20,RUE,GABRIEL GOUDY,44200,NANTES
45,AV,COURTELINE,44800,ST-HERBLAIN
4,PL,HENRI REY,44300,NANTES
1,RUE,FABERT,44100,NANTES
48,RUE,CONDORCET,44100,NANTES
16,RUE,DE LA FONTAINE DE BARBIN,44000,NANTES
40,RUE,ALBERT CALMETTE,44300,NANTES
22,RUE,CLEMENCE ROYER,44100,NANTES
2,IMP,BERTIE ALBRECHT,44800,ST-HERBLAIN
62,RUE,MAL JOFFRE,44000,NANTES
62,RUE,MAL JOFFRE,44000,NANTES
5,RUE,FRANKLIN,44000,NANTES
469,AV,DU SEQUOIA,44300,NANTES
469,AV,DU SEQUOIA,44300,NANTES
18,RUE,LAMORICIERE,44100,NANTES
12,AV,DES EGLANTIERS,44300,NANTES
3,RUE,GEN DE GOYON,44100,NANTES
2,RUE,JULIEN,44300,NANTES
4,AV,DU RUISSEAU,44300,NANTES
9,RUE,JEAN BAPTISTE OLIVAUX,44300,NANTES
6,RUE,RICHER,44100,NANTES
21,CHE,DES USINES,44300,NANTES
31,RUE,DE LA DUCHESSE,44100,NANTES
2,RUE,ERIC TABARLY,44800,ST-HERBLAIN
7,RUE,GAL LANREZAC,44000,NANTES
4,AV,DE LA TRANSAT,44100,NANTES
27,BD,MICHELET,44300,NANTES
12,RUE,METZINGER,44100,NANTES
18,RUE,CAMILLE FLAMMARION,44000,NANTES
1,RUE,MARANGE SYLVANGE,44100,NANTES
22,RUE,DE GIGANT,44100,NANTES
22,RUE,DE GIGANT,44100,NANTES
4,RUE,STANISLAS BAUDRY,44000,NANTES
7,RUE,CONDORCET,44100,NANTES
9009,,LA PIAUDIERE,44200,NANTES
38,BD,GABRIEL LAURIOL,44300,NANTES
63,RUE,D ALLONVILLE,44000,NANTES
15,RUE,DE LA JOHARDIERE,44800,ST-HERBLAIN
8,RUE,D ALGER,44100,NANTES
8,RUE,D ALGER,44100,NANTES
62,RUE,DE LA BASSE CHENAIE,44300,NANTES
19,RUE,DE BEL AIR,44000,NANTES
74,CHE,DU PORT DES CHARRETTES,44300,NANTES
35,RUE,ELIE CREPEAU,44300,NANTES
4,RUE,DE SEVIGNE,44000,NANTES
35,RUE,BOUGAINVILLE,44100,NANTES
nan,RUE,DE L ERAUDIERE,44300,NANTES
2,ALL,DUQUESNE,44000,NANTES
2,ALL,DUQUESNE,44000,NANTES
3,RUE,DES MARAICHERS,44300,NANTES
70,RUE,DE NANCY,44300,NANTES
2,AV,DU DIAPASON,44300,NANTES
1,RUE,STE CROIX,44000,NANTES
1,RUE,STE CROIX,44000,NANTES
5,RUE,DES TULIPIERS,44800,ST-HERBLAIN
39,RUE,DES DERVALLIERES,44000,NANTES
65,RUE,DES TROIS ROIS,44000,NANTES
25,RUE,DU GRAND CLOS,44300,NANTES
8,RUE,MAL DE GASSION,44100,NANTES
8,RUE,DU PORT LARRON,44610,INDRE
9,RUE,BEAUSOLEIL,44000,NANTES
10,RUE,LA TOUR D AUVERGNE,44200,NANTES
14,ALL,DE LA MUSIQUE,44800,ST-HERBLAIN
12,RUE,DU BOIS,44100,NANTES
59,QUAI,DE LA FOSSE,44000,NANTES
19,RUE,DES CARMES,44000,NANTES
11,RUE,STUART,44100,NANTES
101,BD,DE LA FRATERNITE,44100,NANTES
9,RUE,DU DOCTEUR ALFRED CORLAY,44800,ST-HERBLAIN
8,RUE,HENRI BILLOT,44100,NANTES
49,RUE,CAMILLE DESMOULINS,44300,NANTES
2,BD,ALBERT THOMAS,44000,NANTES
14,RUE,DU PATIS,44230,ST SEBASTIEN SUR LOIRE
3,RUE,GAL BEDEAU,44000,NANTES
9,RUE,JEAN PAUL SARTRE,44800,ST-HERBLAIN
7,RUE,MICHEL LE LOU DU BREIL,44100,NANTES
12,RUE,EMILE PEHANT,44000,NANTES
79,RUE,FELIX THOMAS,44000,NANTES
1,AV,DES SYLPHES,44100,NANTES
5,ALL,DU THEATRE,44800,ST-HERBLAIN
5,RUE,DE LA 5E REPUBLIQUE,44230,ST SEBASTIEN SUR LOIRE
70,RTE,DE CLISSON,44200,NANTES
9,RUE,J B LEGEAY,44100,NANTES
9,RUE,J B LEGEAY,44100,NANTES
19,BD,DE LA LIBERTE,44100,NANTES
5,RUE,DES BAS MOULINS,44800,ST-HERBLAIN
50,BD,JOLIOT CURIE,44200,NANTES
2,RUE,JEANNE MALIVEL,44800,ST-HERBLAIN
46,RUE,FREDERIC CHOPIN,44230,ST SEBASTIEN SUR LOIRE
47,AV,DE BEAUREGARD,44800,ST-HERBLAIN
15,RUE,DE L OLIVRAIE,44200,NANTES
3,AV,PDT ARISTIDE BRIAND,44230,ST SEBASTIEN SUR LOIRE
4,IMP,DE LA CALYPSO,44000,NANTES
20,RUE,PAUL BELLAMY,44000,NANTES
4,AV,DES IMPRESSIONNISTES,44200,NANTES
8,ALL,D ERDRE,44000,NANTES
82,RUE,DE LA BASTILLE,44000,NANTES
24,RUE,GUSTAVE CHARPENTIER,44300,NANTES
4,RUE,GASTON VEIL,44000,NANTES
5,IMP,DES PHOTINIAS,44300,NANTES
51,BD,VICTOR HUGO,44200,NANTES
51,BD,VICTOR HUGO,44200,NANTES
51,BD,VICTOR HUGO,44200,NANTES
6,RUE,JEANNE DEROIN,44200,NANTES
3,RUE,DOCTEUR ZAMENHOF,44200,NANTES
3,RUE,DOCTEUR ZAMENHOF,44200,NANTES
5,RUE,FREDUREAU,44000,NANTES
51,BD,VICTOR HUGO,44200,NANTES
51,BD,VICTOR HUGO,44200,NANTES
116,BD,ERNEST DALBY,44000,NANTES
116,BD,ERNEST DALBY,44000,NANTES
116,BD,ERNEST DALBY,44000,NANTES
116,BD,ERNEST DALBY,44000,NANTES
116,BD,ERNEST DALBY,44000,NANTES
2,AV,D ALDEN PARK,44200,NANTES
13,AV,JULES BECIGNEUL,44000,NANTES
5,RUE,DES LYS,44230,ST SEBASTIEN SUR LOIRE
12,RUE,DE LA CONVENTION,44100,NANTES
2,CHE,DE LA COLETRIE,44300,NANTES
3,AV,DU BOUT DES LANDES,44300,NANTES
3,AV,DU BOUT DES LANDES,44300,NANTES
3,AV,DU BOUT DES LANDES,44300,NANTES
6,AV,DES DANOIS,44300,NANTES
18,RUE,DES GRIPOTS,44230,ST SEBASTIEN SUR LOIRE
8,RUE,JEAN JAURES,44000,NANTES
3,RUE,CHRISTIAN PAUC,44300,NANTES
3,RUE,DES MILLEPERTUIS,44300,NANTES
2,RUE,FERNAND PINEAU CHAILLOU,44300,NANTES
26,BD,STALINGRAD,44000,NANTES
5,RUE,DOCTEUR GRIMAUD,44100,NANTES
5,RUE,DOCTEUR GRIMAUD,44100,NANTES
48,RUE,MAL JOFFRE,44000,NANTES
23,RUE,MELLIER,44100,NANTES
45,QUAI,MAGELLAN,44000,NANTES
47,RUE,LITTRE,44100,NANTES
9,RUE,DU DOCTEUR ALFRED CORLAY,44800,ST-HERBLAIN
3,RUE,DE PREAULX,44300,NANTES
14,IMP,DES AVIATEURS,44000,NANTES
9,IMP,FRERE MAURICE CHOTARD,44100,NANTES
35,RUE,ROBERT DOUINEAU,44230,ST SEBASTIEN SUR LOIRE
35,RUE,ROBERT DOUINEAU,44230,ST SEBASTIEN SUR LOIRE
9,ALL,BEAU RIVAGE,44200,NANTES
58,BD,JULES VERNE,44300,NANTES
6,PL,LT JEHENNE,44000,NANTES
1,PL,WALDECK ROUSSEAU,44000,NANTES
18,RUE,DE LA GARILLERE,44230,ST SEBASTIEN SUR LOIRE
61,BD,DE DOULON,44300,NANTES
23,BD,DE LA PILOTIERE,44300,NANTES
36,RUE,ST MEDARD,44300,NANTES
28,RUE,LOUIS DAVID,44100,NANTES
70,RUE,LOUIS PASTEUR,44230,ST SEBASTIEN SUR LOIRE
13,RUE,BARILLER,44000,NANTES
49,AV,DU BOUT DES LANDES,44300,NANTES
23,RUE,DES 3 ORMEAUX,44000,NANTES
19,RUE,DE BEL AIR,44000,NANTES
75,RUE,BAPTISTE MARCET,44100,NANTES
42,RUE,FELIX LEMOINE,44300,NANTES
16,AV,DES DRUIDES,44300,NANTES
7,RUE,DU FRESCHE BLANC,44300,NANTES
22,RUE,DE BELLEVILLE,44100,NANTES
44,RUE,LEON JOST,44300,NANTES
9002,AV,DES RODIERES,44300,NANTES
98,QUAI,DE LA FOSSE,44100,NANTES
9,RUE,DE LA VOLTA,44800,ST-HERBLAIN
3,RUE,DOCTEUR ZAMENHOF,44200,NANTES
3,RUE,DOCTEUR ZAMENHOF,44200,NANTES
14,RUE,ST LEONARD,44000,NANTES
8,RUE,CACAULT,44000,NANTES
30,RUE,JULIEN,44300,NANTES
6,RUE,MAURICE DANIEL,44200,NANTES
30,RUE,DE L OUEST,44100,NANTES
2,AV,DU PARC DE PROCE,44100,NANTES
42,RUE,ARISTIDE BRIAND,44610,INDRE
4,RUE,MONTYON,44100,NANTES
4,RUE,MONTYON,44100,NANTES
6,RUE,BATONNIER GUINAUDEAU,44100,NANTES
4,RUE,VASCO DE GAMA,44000,NANTES
96,RUE,DES FROMENTEAUX,44200,NANTES
10,IMP,MADAME,44300,NANTES
2,SQ,DES ROCHELLETS,44100,NANTES
14,RUE,DES DERVALLIERES,44000,NANTES
90,RUE,D ALLONVILLE,44000,NANTES
2,RUE,JEAN JAURES,44610,INDRE
23,AV,DE L HARMONIE,44300,NANTES
80,BD,ST AIGNAN,44100,NANTES
2,RUE,DU ROI ALBERT,44000,NANTES
33,RUE,JEAN BOUIN,44100,NANTES
5,RUE,PERRAULT,44000,NANTES
55,QUAI,MAGELLAN,44000,NANTES
108,BD,DES BELGES,44300,NANTES
5,RUE,DE COUSTOU,44000,NANTES
72,BD,DE LA LIBERTE,44100,NANTES
31,RUE,CARDINAL RICHARD,44300,NANTES
36,RUE,CARDINAL RICHARD,44300,NANTES
20,RUE,DES MARTYRS DE RESISTANCE,44610,INDRE
5,RUE,D AGEN,44800,ST-HERBLAIN
16,ALL,CDT CHARCOT,44000,NANTES
57,AV,PETITE  DE LONGCHAMP,44300,NANTES
6,RUE,CHARLES BAUDELAIRE,44300,NANTES
99,RUE,DU CROISSANT,44300,NANTES
14,RUE,DE LA DISTILLERIE,44000,NANTES
13,RUE,SUZANNE LENGLEN,44800,ST-HERBLAIN
3,RUE,DE LA COMMUNE DE 1871,44230,ST SEBASTIEN SUR LOIRE
6,RUE,CLAUDE ET SIMONE MILLOT,44300,NANTES
10,RUE,BERGERE,44000,NANTES
10,RUE,OGEE,44000,NANTES
10,BD,JULES VERNE,44300,NANTES
8,RUE,MAL DE GASSION,44100,NANTES
4,RUE,RAOUL DUFY,44100,NANTES
21,RUE,DES OLIVETTES,44000,NANTES
17,AV,DE L HORTICULTURE,44300,NANTES
20,RUE,GAL HAXO,44000,NANTES
62,RUE,PAUL BELLAMY,44000,NANTES
7,AV,DE BAYONNE,44100,NANTES
31,AV,DE LA PRIME,44100,NANTES
59,RUE,EDGAR QUINET,44100,NANTES
1,RUE,SYLVAIN PARIS,44000,NANTES
26,RUE,CASIMIR PERIER,44000,NANTES
15,RUE,PITRE CHEVALIER,44000,NANTES
19,RUE,DE LA CHEVALERIE,44300,NANTES
19,RUE,DE LA CHEVALERIE,44300,NANTES
5,RUE,CLEMENCE ROYER,44100,NANTES
10,RUE,DE MONTBAZON,44300,NANTES
95,RUE,AMIRAL DUCHAFFAULT,44100,NANTES
95,RUE,AMIRAL DUCHAFFAULT,44100,NANTES
57,RUE,JEAN BOUIN,44100,NANTES
20,RUE,DU CALVAIRE,44000,NANTES
20,RUE,DU CALVAIRE,44000,NANTES
18,RUE,PIERRE LOTI,44300,NANTES
6,RUE,MASSENET,44300,NANTES
33,RUE,PETITE  DANTON,44100,NANTES
143,BD,DES POILUS,44300,NANTES
23,RUE,EUGENE TESSIER,44000,NANTES
10,AV,DOCTEUR SCHWEITZER,44100,NANTES
108,BD,EUGENE ORIEUX,44000,NANTES
3,RUE,CHRISTIAN PAUC,44300,NANTES
27,RTE,DE VANNES,44100,NANTES
69,RUE,PREFET BONNEFOY,44000,NANTES
18,RUE,DE COULONGE,44300,NANTES
38,RUE,DE LA VILLE AUX ROSES,44000,NANTES
13,RUE,CHEVERT,44100,NANTES
38,RUE,GEORGE SAND,44000,NANTES
7,RUE,CONDORCET,44100,NANTES
8,RUE,DU PETIT VILLAGE,44800,ST-HERBLAIN
26,BD,ROBERT SCHUMAN,44300,NANTES
13,RUE,CHEVERT,44100,NANTES
53,RUE,LEON SAY,44000,NANTES
62,AV,DE L HARMONIE,44300,NANTES
3,RUE,DU MAINE,44000,NANTES
31,CHE,DE LA BOUCARDIERE,44100,NANTES
18,RUE,LAMORICIERE,44100,NANTES
10,IMP,DE LA CALYPSO,44000,NANTES
5,RUE,JENNER,44100,NANTES
13,RUE,CHEVERT,44100,NANTES
3,PL,GRASLIN,44000,NANTES
12,AV,JEAN PATY,44300,NANTES
4,AV,D ALDEN PARK,44200,NANTES
44,RUE,DES ECOBUTS,44230,ST SEBASTIEN SUR LOIRE
127,BD,DES BELGES,44300,NANTES
1,RUE,DU PIN,44300,NANTES
2,RUE,PIERRE AUDIGE,44000,NANTES
40,RUE,DU CLOS TOREAU,44200,NANTES
104,BD,ERNEST DALBY,44000,NANTES
106,BD,ERNEST DALBY,44000,NANTES
40,AV,DE ROME,44300,NANTES
78,RTE,DE SAINT SEBASTIEN,44230,ST SEBASTIEN SUR LOIRE
31,RUE,AMIRAL DUCHAFFAULT,44100,NANTES
31,RUE,AMIRAL DUCHAFFAULT,44100,NANTES
42,RUE,DE LA BASSE CHENAIE,44300,NANTES
51,RUE,DES OLIVETTES,44000,NANTES
147,BD,DE LA FRATERNITE,44100,NANTES
6,RUE,COPERNIC,44000,NANTES
178,RUE,PAUL BELLAMY,44000,NANTES
178,RUE,PAUL BELLAMY,44000,NANTES
178,RUE,PAUL BELLAMY,44000,NANTES
178,RUE,PAUL BELLAMY,44000,NANTES
178,RUE,PAUL BELLAMY,44000,NANTES
178,RUE,PAUL BELLAMY,44000,NANTES
6,BD,MEUSNIER DE QUERLON,44000,NANTES
4,RUE,MONTYON,44100,NANTES
4,RUE,MONTYON,44100,NANTES
32,RUE,FA BOUTILLIER,44800,ST-HERBLAIN
54,BD,DU VAL DE CHEZINE,44800,ST-HERBLAIN
4,RUE,MONTYON,44100,NANTES
4,RUE,MONTYON,44100,NANTES
26,RUE,STEPHENSON,44000,NANTES
18,ALL,LOUISE MICHEL,44800,ST-HERBLAIN
11,RUE,DU SOMPORT,44800,ST-HERBLAIN
220,RTE,DE VERTOU,44200,NANTES
16,RUE,DU LARGEAU,44230,ST SEBASTIEN SUR LOIRE
25,AV,DU PARC DE PROCE,44100,NANTES
42,AV,DES NOUETTES,44100,NANTES
30,RUE,DES HAUTS PAVES,44000,NANTES
34,RUE,DE JUSSIEU,44300,NANTES
25,RUE,DU MAINE,44000,NANTES
6,RUE,MONTESQUIEU,44000,NANTES
9023,,L OREVIERE,44800,ST-HERBLAIN
9023,,L OREVIERE,44800,ST-HERBLAIN
2,ALL,CHARLES LINDBERGH,44800,ST-HERBLAIN
12,RUE,YVES BODIGUEL,44000,NANTES
257,RTE,DE STE LUCE,44300,NANTES
35,RUE,BOUGAINVILLE,44100,NANTES
129,BD,DES BELGES,44300,NANTES
34,RUE,FRANCOIS BRUNEAU,44000,NANTES
78,RUE,DU GENERAL DE GAULLE,44230,ST SEBASTIEN SUR LOIRE
9,RUE,DE LA BRASSERIE,44100,NANTES
20,BD,ROBERT SCHUMAN,44300,NANTES
19,BD,JEAN INGRES,44100,NANTES
2,RUE,DE BELLEVUE,44610,INDRE
1,RUE,MAL DE GASSION,44100,NANTES
54,BD,GABRIEL LAURIOL,44300,NANTES
13,RUE,LA MOTTE PICQUET,44100,NANTES
10,AV,DES BLES D OR,44300,NANTES
36,RUE,GABRIEL FAURE,44200,NANTES
3,AV,LT COIFFARD,44000,NANTES
18,CHE,DE LA BOISBONNIERE,44300,NANTES
18,CHE,DE LA BOISBONNIERE,44300,NANTES
62,RUE,DES PAVILLONS,44100,NANTES
62,RUE,DES PAVILLONS,44100,NANTES
62,RUE,DES PAVILLONS,44100,NANTES
62,RUE,DES PAVILLONS,44100,NANTES
53,AV,DES NAUDIERES,44800,ST-HERBLAIN
32,BD,BABIN CHEVAYE,44200,NANTES
38,BD,PAUL LANGEVIN,44100,NANTES
38,BD,PAUL LANGEVIN,44100,NANTES
10,RUE,LOUIS BRAILLE,44200,NANTES
10,RUE,DU MILLAU,44300,NANTES
38,RUE,DE LA DUCHESSE,44100,NANTES
1,RUE,BERTRAND GESLIN,44000,NANTES
7,RUE,DU PONT DE LA CHEZINE,44800,ST-HERBLAIN
4,RUE,DES GRANDS NOELS,44230,ST SEBASTIEN SUR LOIRE
23,RUE,VOLTAIRE,44000,NANTES
63,RUE,D ALLONVILLE,44000,NANTES
15,RUE,DE LA JOHARDIERE,44800,ST-HERBLAIN
38,BD,PAUL LANGEVIN,44100,NANTES
18,RUE,DE LA HALUCHERE,44300,NANTES
11,BD,AMIRAL COURBET,44000,NANTES
11,BD,AMIRAL COURBET,44000,NANTES
11,BD,AMIRAL COURBET,44000,NANTES
39,AV,DE GOURIN,44300,NANTES
3,RUE,DE L AUBISQUE,44800,ST-HERBLAIN
11,RUE,DE PREAULX,44300,NANTES
15,RUE,DU SENAT,44300,NANTES
29,RUE,DU MAINE,44000,NANTES
8,RUE,DEURBROUCQ,44000,NANTES
13,RUE,DU POURTALET,44800,ST-HERBLAIN
12,RUE,DES HETRES,44230,ST SEBASTIEN SUR LOIRE
12,RUE,DES HETRES,44230,ST SEBASTIEN SUR LOIRE
32,RUE,VINCENT AURIOL,44800,ST-HERBLAIN
23,RUE,DE QUERCY,44230,ST SEBASTIEN SUR LOIRE
14,CHE,DE LA CHARREE,44100,NANTES
4,ALL,ANTONIO VIVALDI,44800,ST-HERBLAIN
2,RUE,ARSENE LELOUP,44100,NANTES
18,RUE,DE LA GARILLERE,44230,ST SEBASTIEN SUR LOIRE
43,RUE,FRANCIS DE PRESSENSE,44000,NANTES
30,RUE,DU MOULIN DES CARMES,44300,NANTES
23,RUE,FELIX FAURE,44000,NANTES
15,RUE,DE LA BOULOGNE,44230,ST SEBASTIEN SUR LOIRE
7,AV,DE LA SALAMANDRE,44300,NANTES
107,BD,FRANCOIS MITTERRAND,44800,ST-HERBLAIN
48,RUE,DES ECOBUTS,44230,ST SEBASTIEN SUR LOIRE
47,RUE,DE L OUCHE COLIN,44230,ST SEBASTIEN SUR LOIRE
47,RUE,DE L OUCHE COLIN,44230,ST SEBASTIEN SUR LOIRE
47,RUE,DE L OUCHE COLIN,44230,ST SEBASTIEN SUR LOIRE
47,RUE,DE L OUCHE COLIN,44230,ST SEBASTIEN SUR LOIRE
66,RUE,PAUL BERT,44100,NANTES
39,RUE,ALEXANDRE GOSSELIN,44300,NANTES
14,RUE,DES ECHEVINS,44000,NANTES
4,CRS,OLIVIER DE CLISSON,44000,NANTES
43,RUE,DU PONTEREAU,44300,NANTES
12,RUE,KERVEGAN,44000,NANTES
47,RUE,LITTRE,44100,NANTES
35,RUE,EUGENE THOMAS,44300,NANTES
2,RUE,JULES BODIGUEL,44610,INDRE
2,RUE,JULES BODIGUEL,44610,INDRE
123,BD,JULES VERNE,44300,NANTES
33,BD,AMIRAL COURBET,44000,NANTES
4,RUE,DE LA GARDE,44800,ST-HERBLAIN
5,RUE,DE CARCOUET,44000,NANTES
88,BD,DES BELGES,44300,NANTES
28,BD,DES FRERES DE GONCOURT,44000,NANTES
4,PL,DU PETIT BOIS,44100,NANTES
19,ALL,CDT CHARCOT,44000,NANTES
98,RUE,PAUL BELLAMY,44000,NANTES
10,RUE,DU GENERAL DUEZ,44230,ST SEBASTIEN SUR LOIRE
9,RUE,DES FOLIES CHAILLOU,44000,NANTES
71,BD,DES POILUS,44300,NANTES
27,BD,DE LA PILOTIERE,44300,NANTES
153,BD,AUGUSTE PENEAU,44300,NANTES
64,BD,DE LA LIBERTE,44100,NANTES
6,RUE,NOTRE DAME,44000,NANTES
15,RUE,MAURICE BARRES,44300,NANTES
12,BD,ROBERT SCHUMAN,44300,NANTES
9001,RUE,JULIEN,44300,NANTES
98,BD,DE DOULON,44300,NANTES
33,RUE,DES CANARIS,44300,NANTES
8,AV,CAMUS,44000,NANTES
32,RUE,DE LA CAILLETTE,44100,NANTES
83,RUE,DE LA DURANTIERE,44100,NANTES
126,BD,DU MASSACRE,44800,ST-HERBLAIN
126,BD,DU MASSACRE,44800,ST-HERBLAIN
5,RUE,PIETRUS JOUBERT,44300,NANTES
50,RUE,DE COULMIERS,44000,NANTES
28,AV,MONTREAL,44230,ST SEBASTIEN SUR LOIRE
19,RUE,DU GENERAL DE GAULLE,44230,ST SEBASTIEN SUR LOIRE
3,RUE,D AGEN,44800,ST-HERBLAIN
3,BD,GEORGES MANDEL,44200,NANTES
32,RUE,PAUL PAINLEVE,44000,NANTES
58,AV,DES NAUDIERES,44800,ST-HERBLAIN
8,IMP,DES SALLES,44300,NANTES
3,RUE,JULES PIEDELEU,44100,NANTES
36,RUE,DE LA PLANCHE AU GUE,44300,NANTES
17,CHE,BAS  DE VERTOU,44200,NANTES
10,RUE,JULES BODIGUEL,44610,INDRE
70,RTE,DE RENNES,44300,NANTES
16,RUE,DE LA MARRIERE,44300,NANTES
5,RUE,ALFRED KASTLER,44300,NANTES
48,BD,DE LA PRAIRIE AU DUC,44200,NANTES
3,AV,DE L HARMONIE,44300,NANTES
6,QUAI,MAGELLAN,44000,NANTES
1,BD,DE LAUNAY,44100,NANTES
1,AV,DE L AIR DU TEMPS,44300,NANTES
19,RUE,DES CARMES,44000,NANTES
11,RUE,DU BORD,44610,INDRE
307,RTE,DE CLISSON,44230,ST SEBASTIEN SUR LOIRE
307,RTE,DE CLISSON,44230,ST SEBASTIEN SUR LOIRE
27,AV,ARTHUR BENOIT,44100,NANTES
26,BD,STALINGRAD,44000,NANTES
10,BD,VAN ISEGHEM,44000,NANTES
31,BD,AMIRAL COURBET,44000,NANTES
1,RUE,DE L OUCHE CORMIER,44100,NANTES
nan,CHE,DE LA PELOUSIERE,44800,ST-HERBLAIN
2,ALL,DES PINSONS,44100,NANTES
15,RUE,DES CARMELITES,44000,NANTES
19,RUE,A BARBE TORTE,44200,NANTES
35,RUE,DE L OUCHE COLIN,44230,ST SEBASTIEN SUR LOIRE
35,RUE,DE L OUCHE COLIN,44230,ST SEBASTIEN SUR LOIRE
11,RUE,HENRI IV,44000,NANTES
20,RUE,JEAN MERMOZ,44230,ST SEBASTIEN SUR LOIRE
20,RUE,JEAN MERMOZ,44230,ST SEBASTIEN SUR LOIRE
nan,RUE,AUGUSTE LEPERE,44100,NANTES
85,RUE,DES CHALATRES,44000,NANTES
85,RUE,DES CHALATRES,44000,NANTES
59,RUE,DE LA TULLAYE,44300,NANTES
1,AV,DE L AIR DU TEMPS,44300,NANTES
35,AV,DE LA BRANCHOIRE,44800,ST-HERBLAIN
38,RUE,DE LA PLANCHE AU GUE,44300,NANTES
149,BD,DES BELGES,44300,NANTES
1,RUE,DU CHATEAU,44000,NANTES
77,BD,DES ANGLAIS,44100,NANTES
nan,RUE,AUGUSTE LEPERE,44100,NANTES
38,RUE,COL DESGREES DU LOU,44100,NANTES
nan,RUE,AUGUSTE LEPERE,44100,NANTES
63,BD,DES POILUS,44300,NANTES
2,AV,DU PARC DE PROCE,44100,NANTES
3,RUE,BERTHELOT,44000,NANTES
nan,RUE,DE L ERAUDIERE,44300,NANTES
12,RUE,DES BERLAGUTS,44230,ST SEBASTIEN SUR LOIRE
10,RUE,AMAND GUINDRE,44300,NANTES
